d:\Anaconda\Programa\envs\drlnd\lib\site-packages\torch\nn\functional.py:995: UserWarning: nn.functional.tanh is deprecated. Use torch.tanh instead.
  warnings.warn("nn.functional.tanh is deprecated. Use torch.tanh instead.")
Episode 1	Average Score: 0.69
Episode 96	Average Score: 15.04
Episode 97	Average Score: 15.13
Episode 98	Average Score: 15.28
Episode 99	Average Score: 15.40
Episode 100	Average Score: 15.55
Episode 101	Average Score: 15.84
Episode 102	Average Score: 16.14
Episode 103	Average Score: 16.43
Episode 104	Average Score: 16.70
Episode 105	Average Score: 17.00
Episode 106	Average Score: 17.30
Episode 107	Average Score: 17.61
Episode 108	Average Score: 17.92
Episode 109	Average Score: 18.25
Episode 110	Average Score: 18.56
Episode 111	Average Score: 18.85
Episode 112	Average Score: 19.14
Episode 113	Average Score: 19.44
Episode 114	Average Score: 19.74
Episode 115	Average Score: 20.05
Episode 116	Average Score: 20.33
Episode 117	Average Score: 20.57
Episode 118	Average Score: 20.81
Episode 119	Average Score: 21.04
Episode 120	Average Score: 21.27
Episode 121	Average Score: 21.48
Episode 122	Average Score: 21.70
Episode 123	Average Score: 21.91
Episode 124	Average Score: 22.14
Episode 125	Average Score: 22.36
Episode 126	Average Score: 22.57
Episode 127	Average Score: 22.77
Episode 128	Average Score: 22.98
Episode 129	Average Score: 23.19
Episode 130	Average Score: 23.38
Episode 131	Average Score: 23.54
Episode 132	Average Score: 23.75
Episode 133	Average Score: 23.94
Episode 134	Average Score: 24.10
Episode 135	Average Score: 24.30
Episode 136	Average Score: 24.48
Episode 137	Average Score: 24.66
Episode 138	Average Score: 24.79
Episode 139	Average Score: 24.92
Episode 140	Average Score: 25.02
Episode 141	Average Score: 25.05
Episode 142	Average Score: 24.99
Episode 143	Average Score: 24.96
Episode 144	Average Score: 24.93
Episode 145	Average Score: 24.93
Episode 146	Average Score: 24.97
Episode 147	Average Score: 24.96
Episode 148	Average Score: 24.95
Episode 149	Average Score: 24.98
Episode 150	Average Score: 25.00
Episode 151	Average Score: 24.97
Episode 152	Average Score: 24.93
Episode 153	Average Score: 24.92
Episode 154	Average Score: 24.89
Episode 155	Average Score: 24.89
Episode 156	Average Score: 24.84
Episode 157	Average Score: 24.81
Episode 158	Average Score: 24.77
Episode 159	Average Score: 24.79
Episode 160	Average Score: 24.78
Episode 161	Average Score: 24.77
Episode 162	Average Score: 24.86
Episode 163	Average Score: 24.94
Episode 164	Average Score: 25.08
Episode 165	Average Score: 25.17
Episode 166	Average Score: 25.30
Episode 167	Average Score: 25.43
Episode 168	Average Score: 25.57
Episode 169	Average Score: 25.72
Episode 170	Average Score: 25.88
Episode 171	Average Score: 26.09
Episode 172	Average Score: 26.27
Episode 173	Average Score: 26.46
Episode 174	Average Score: 26.64
Episode 175	Average Score: 26.82
Episode 176	Average Score: 27.01
Episode 177	Average Score: 27.12
Episode 178	Average Score: 27.25
Episode 179	Average Score: 27.36
Episode 180	Average Score: 27.43
Episode 181	Average Score: 27.55
Episode 182	Average Score: 27.63
Episode 183	Average Score: 27.74
Episode 184	Average Score: 27.85
Episode 185	Average Score: 27.93
Episode 186	Average Score: 28.05
Episode 187	Average Score: 28.22
Episode 188	Average Score: 28.39
Episode 189	Average Score: 28.49
Episode 190	Average Score: 28.57
Episode 191	Average Score: 28.61
Episode 192	Average Score: 28.67
Episode 193	Average Score: 28.73
Episode 194	Average Score: 28.77
Episode 195	Average Score: 28.81
Episode 196	Average Score: 28.92
Episode 197	Average Score: 29.05
Episode 198	Average Score: 29.08
Episode 199	Average Score: 29.13
Episode 200	Average Score: 29.13
Episode 201	Average Score: 29.13
Episode 202	Average Score: 29.10
Episode 203	Average Score: 29.11
Episode 204	Average Score: 29.07
